predictedFC_regional,empiricalFC
0.1599605252786608,0.23263381316323
0.18827304303066997,0.347538368055137
0.18488365743982627,0.2736799584382593
0.17064539368672074,0.2770565138270347
0.18792738640584272,0.28430329518238373
0.15420767409769093,0.10899815765262938
0.18154078761951456,0.33723172641935206
0.15851661739138792,0.2412121675108004
0.1729957442392288,0.20507338278890497
0.1618505418040976,0.20076512646511263
0.17570302173428926,0.11576831560388899
0.1589875730036451,0.10874420214602214
0.20215964784068063,0.25878554275775056
0.15853151340559518,0.18611163672503342
0.15962813887256908,0.17212022221095122
0.19838116679632856,0.2612227838970095
0.16966125407602464,0.20741287514856258
0.17241371660274513,0.2024407970830059
0.15058555950515295,0.12872947006452146
0.1675835297100638,0.21041198044893195
0.1705770856553706,0.21420237629672964
0.20872138886102404,0.3182529150240514
0.1487182155496037,0.23684516003926467
0.18060522929700296,0.21398943938371973
0.19302542729750471,0.22802804185750464
0.18803633851345034,0.2834331286403622
0.21743388537706482,0.29992819726338865
0.19998184242599756,0.22228499061768656
0.19749020051633986,0.22100115228575656
0.21591496519262426,0.27304843945499974
0.14063073884829355,0.1621692202686314
0.16062865792884523,0.20342605761068588
0.17276285112067394,0.1267676374844009
0.14561161926956354,0.1517205528768982
0.15506106849141096,0.15571308894887495
0.1924621274118979,0.16875572900708605
0.17429310885950383,0.16898406026290053
0.13852437470398613,0.17190403410354024
0.15011912989085618,0.15458368619455187
0.1673099390734567,0.14814456531774994
0.16250498429594348,0.1372180445225159
0.15836272670942136,0.1660957875591314
0.14922757610169368,0.1781814763640647
0.14281692926287684,0.15188523415938626
0.12730851148556938,0.17920227547972592
0.11602158645917415,0.1839763201210201
0.12477572188259198,0.17207795396328499
0.11547263508817705,0.15376212682191562
0.12734641155468623,0.1679957717529392
0.12595759691681294,0.18310678382455978
0.14643355623299437,0.1880668263496541
0.14742192610787525,0.1383785422519977
0.14474078006124896,0.13936210330301177
0.13311788626446122,0.11759792063875091
0.12062243336430836,0.12086157878035786
