predictedFC_global,empiricalFC
0.19112323131440823,0.23263381316323
0.2184105209399297,0.347538368055137
0.21990718862677464,0.2736799584382593
0.2128376279298892,0.2770565138270347
0.20972484909007696,0.28430329518238373
0.1820026092674879,0.10899815765262938
0.21673466994317145,0.33723172641935206
0.1783801240677679,0.2412121675108004
0.21724805982443327,0.20507338278890497
0.19467726045970415,0.20076512646511263
0.18738264422900963,0.11576831560388899
0.1855298973243025,0.10874420214602214
0.21081399939389042,0.25878554275775056
0.17233041819395017,0.18611163672503342
0.20497138138933513,0.17212022221095122
0.22617172625014909,0.2612227838970095
0.1774936803068305,0.20741287514856258
0.18684819466314856,0.2024407970830059
0.19342711231912002,0.12872947006452146
0.2021396409324464,0.21041198044893195
0.22285037443539468,0.21420237629672964
0.22811071049035597,0.3182529150240514
0.17325999647229565,0.23684516003926467
0.19765128036735904,0.21398943938371973
0.2142149836095109,0.22802804185750464
0.2169621595924588,0.2834331286403622
0.23535951233320604,0.29992819726338865
0.2108210660027865,0.22228499061768656
0.21734687342627176,0.22100115228575656
0.2241720002558336,0.27304843945499974
0.18440960122254668,0.1621692202686314
0.18235298374941533,0.20342605761068588
0.18500166401674403,0.1267676374844009
0.1692994332690618,0.1517205528768982
0.18247456223064482,0.15571308894887495
0.20587462378033916,0.16875572900708605
0.19871036439643489,0.16898406026290053
0.16330647535911885,0.17190403410354024
0.17014587202359657,0.15458368619455187
0.190429344715108,0.14814456531774994
0.18188921665548366,0.1372180445225159
0.18476071168067504,0.1660957875591314
0.17313704188988938,0.1781814763640647
0.17007779940654905,0.15188523415938626
0.16730128129756786,0.17920227547972592
0.15423503210555012,0.1839763201210201
0.15570569185998934,0.17207795396328499
0.14820081361576837,0.15376212682191562
0.14974273604427152,0.1679957717529392
0.1549119721112109,0.18310678382455978
0.17226309812091428,0.1880668263496541
0.17004191872548605,0.1383785422519977
0.1546717155190832,0.13936210330301177
0.1487556038519787,0.11759792063875091
0.14543669126711234,0.12086157878035786
0.14841559052978098,0.16044508928152657
0.18348257429809062,0.16598141274726852
0.15510298487071,0.1337669411125255
