SNR,rsq
-26.990092188084844,0.2632095225226171
-29.223876740311237,0.2443060143610501
-23.372705289968074,0.3945184254667814
-27.1192015236832,0.2981844843181641
-23.40765831355509,0.4545535811379965
-21.760679990802682,0.5832495034231711
-30.740548451967577,0.2901574124567566
-21.283254618966478,0.4028963046832564
-21.437818384722,0.5566787671097994
-26.001680404789077,0.2909326648346
-22.75935163289152,0.4502147118891793
-22.35140483238649,0.4163869986727709
-30.464467043609364,0.3090130160891206
-21.799208929745813,0.5595772067814078
-20.34752547139034,0.7050324265934874
-28.042090500162338,0.2496412315342127
-20.733917806824557,0.2359683357718016
-20.390239759522473,0.6020766441068854
-20.380958131218225,0.6487410840772573
-29.839341658392172,0.2221828800774983
-23.020661986653025,0.4438319813204874
-25.133469191322813,0.2728458016549506
-21.46580505742362,0.4520603772874905
-20.16950202203484,0.4797703922906993
-20.388146502740575,0.4028225823081551
-24.023487035243743,0.2876794027662304
-20.84128339725888,0.4490174819013659
-19.38408540316046,0.4075027519114502
-21.670645417914713,0.3680457142612466
-20.52000267978882,0.2803602445547886
-20.160475907866097,0.2884196235830242
-25.432882133033342,0.1820583243623077
-22.599274784790275,0.1317027252700769
-29.677725054761535,0.1008418311023693
-29.580872418024146,0.3145851049063795
-27.824576853154014,0.2035541191392089
-21.05343832393565,0.1015090547010221
-24.872433347619193,0.105289171529829
-23.96064699581045,0.2666914692423427
-23.469679104777754,0.2200532285137986
-22.959133194554617,0.2826168674189693
-21.710373181447004,0.2718051460243952
-23.166896919139834,0.1651856394188096
-23.642232623156325,0.1933950266072351
-22.66422843397046,0.1592627943099784
-21.99917789519576,0.3000107993952363
-22.34020910279781,0.1717874068159596
-21.426626458725266,0.1838926415580575
-28.30448605138975,0.2324269903746548
-22.83563418201173,0.1137697515233104
-20.154790148318824,0.2810732893041517
-20.958276381673254,0.2850244758954749
-22.114374477028704,0.2881892970591756
-23.653258931819362,0.2904950948261442
-24.221787685318187,0.2825747158499553
-21.64103375783162,0.2513373393425663
-21.519145450550734,0.3718872059427104
-20.190954659818516,0.3082851636666858
-19.895521493899032,0.4035677508609263
-21.79360353583083,0.3170207600555973
-21.235155566416825,0.3042351212064913
-22.927481659169135,0.3580210406327443
-19.53949772875077,0.3815229503346348
-21.347726661875647,0.2713516308595283
-21.670992537977,0.3467282217261396
-19.995892427882815,0.3243357595057716
-20.79576524962862,0.3420600976431623
-21.79174236466583,0.3038774035288539
-24.667961772255364,0.2358427930700528
-23.165477266060293,0.3030007093897529
-22.229157204944826,0.2850112292598227
-21.224862836210537,0.213902981079897
-22.434774929650075,0.2436708393323499
-20.06552113341905,0.2004400983586354
-21.298889907828233,0.2546564996950019
-22.230584944855853,0.2931248801326024
-22.828605077794585,0.1755921555663652
-21.406731239992403,0.1953339313382953
-21.763246406781874,0.3002024789120828
-20.24463563181534,0.2007730185587951
-21.026933767393,0.3280956517448365
-20.666556305800263,0.2110069919244945
-21.44695513688828,0.2765619111007139
-20.248021923613763,0.3105584529579944
-20.93534223021578,0.3616809339593545
-22.180187317230715,0.0421917521375645
-22.728539459276508,0.1380290041355412
-23.11757959044636,0.105099455643193
-22.224785099358126,0.1239865159206762
-23.750573210225895,0.1853450226281722
-22.719821368696554,0.1204352367591279
-21.616244196242448,0.173307534626657
-20.225985747731617,0.1384901969479637
-22.179777408313875,0.2135286225604935
-21.07490068010008,0.1247233171370505
-21.787768691607248,0.2375627576122545
-26.116549920438406,0.2307422945714302
-30.39522865453402,0.1563063909446509
-26.66635908907785,0.1666182866607926
-29.589406959384096,0.1729793966977093
-25.788734733508793,0.1786476441414616
-28.877462110537273,0.1760469172850116
-23.960775811558438,0.2193578395744679
-24.771028049595646,0.2590659150111106
-24.453816762032123,0.2309382981837596
-22.50917441181771,0.1519092405125051
-26.64494547210453,0.0750290617934231
-28.33944524617886,0.1804973534043743
-29.53596346686127,0.15167378856087
-24.22338228984508,0.1103479844668537
-23.984389715195135,0.1755734315771143
-20.633168589139366,0.2539970105685974
-21.2982313032985,0.1416464041393255
-26.702475870882974,0.1305492108061013
-27.186416619965904,0.0733536786950205
-24.20249603576253,0.1838383896433639
-27.951092236385108,0.0343254623197735
-25.567893575882323,0.1801079500969112
-27.338536668014395,0.0808371498235863
-27.84367025479347,0.1890945075723991
-28.59971737382664,0.1482021695756225
-25.423994927016007,0.273743773802759
-27.46717464197887,0.1574597803943879
-28.774822191454376,0.0733535749836499
-25.878456842428047,0.0687158983973866
-29.437206348876,0.1332590238974362
