delta,theta,alpha,beta,lgamma,hgamma,rsn
6.3343340494932425,26.096372080528567,27.957420565539152,31.508654026288056,2.8177690205226877,5.285450257628289,Vis
-0.35724231103491655,24.580658617764996,29.81965780301263,17.884350938727298,13.642481313852118,14.430093637677881,Vis
16.14725485860412,17.461917917391972,18.3875309714937,40.13228198155283,3.0347687397309233,4.836245531226456,Vis
6.840922603947182,14.204257519739244,28.654260943523514,32.68348150974907,6.3769061619631735,11.240171261077817,Vis
19.867447661824343,19.402626661652015,19.575087601376005,35.55308814039012,2.157468613288299,3.4442813214692074,Vis
16.538159231478502,16.647552253799667,20.62204482993197,40.46613969030202,2.9157130470355144,2.8103909474523294,Vis
1.1797322353066872,21.58058867283384,34.30348096509772,12.227867885288667,14.543481245061033,16.164848996412058,Vis
24.929432819227447,18.5319214876706,19.088772633261385,32.90630913528116,1.2931264180426705,3.2504375065167386,Vis
15.199252315221774,23.360004208782918,19.31397061775901,32.963462333656516,6.7323786282607685,2.4309318963190174,Vis
17.28677051111646,20.96437925233327,20.319551093816404,34.20301148542193,2.121382037569508,5.104905619742436,Vis
17.758836990191153,22.35087641024612,19.26832046443314,32.24265374002548,2.7469529119850806,5.632359483119035,Vis
12.540826601513618,10.802417400944599,18.445735253368266,39.104817029271736,14.911250275827287,4.194953439074491,Vis
3.6011459279553715,24.908014127846652,26.474741202247014,26.51470758519262,8.7206213830249,9.78076977373344,Vis
24.718108829230715,15.206945288599186,17.8785888334736,34.3822306919405,4.548386280142661,3.2657400766133486,Vis
15.320949995796465,18.21484154166907,20.40900361351057,38.10730051933188,6.537448484631906,1.4104558450601075,Vis
12.396670406348463,15.683715541130006,27.621546296868217,23.754896469249484,8.669046662173667,11.87412462423016,Vis
21.143043391447875,18.586058855964932,18.40221851874025,34.984570898616504,1.473095739775269,5.411012595455178,Vis
18.920050691034383,19.447704364992187,19.388498954923396,33.74652303466718,5.485120465171992,3.01210248921087,Vis
16.95026993196796,16.352012718359845,18.978148414713907,34.453767278309975,12.821244211804117,0.4445574448441929,Vis
5.965273698191266,11.875240820887354,31.19769936854016,8.809393311168078,19.932105853138964,22.22028694807417,Vis
22.088222988300423,17.314320240112625,17.57377683862041,35.17420967784466,2.1834835804767256,5.665986674645155,Vis
14.87347450671982,17.932488800245128,21.50888548991791,36.492169535986484,2.8246127028387487,6.368368964291907,Vis
21.11452731105204,14.081493365901848,17.80256443163925,34.29848141443779,8.88806353187924,3.81486994508983,Vis
19.795332611269384,24.72903394145152,19.286092723066353,23.59292882614047,11.799739286172612,0.7968726118996683,Vis
24.75925673523034,17.00110919395571,16.911755462693307,26.395889340569596,13.133662235945687,1.7983270316053537,Vis
15.061951018383047,22.282044328066338,23.560022154112044,31.19304274816988,1.7998604807878873,6.10307927048081,Vis
27.320535558055752,14.458100448261458,16.404120608267622,24.438311594230893,15.15708090639613,2.221850884788152,Vis
19.23409744547042,17.405305747038792,15.68635825346667,34.95838889635937,9.137989130540573,3.5778605271241695,Vis
20.110652526155352,15.742351022409556,16.79683597617748,30.565528803239367,13.527935947253125,3.256695724765118,Vis
20.916630723202903,17.911538968064757,21.93609610983527,26.17484838589882,10.324818547381899,2.7360672656163487,Vis
18.168769641992156,19.534851057509524,21.489921600637402,25.830963670995992,11.475768046141207,3.4997259827237177,Vis
52.400085062178135,5.424799958265634,15.599532108730822,19.743418943788672,3.58146394666717,3.2506999803695757,SomMot
36.38869691170739,6.727169166441081,8.55556863219905,44.36406141846094,2.717548339497947,1.2469555316935885,SomMot
40.85931890729647,3.5269081000456586,3.4955678867762656,51.48373651290065,0.610537826718543,0.02393076626242431,SomMot
28.320658309031565,8.371730306630445,2.371240732034903,50.80531177486283,3.6786100965609747,6.452448780879284,SomMot
25.19263955890375,10.018902762544691,11.182630290325674,41.18645775662656,4.812937257265116,7.6064323743342115,SomMot
7.346834837538831,25.053807608168523,15.520230031294405,47.158192604121304,3.520667944612766,1.400266974264187,SomMot
8.301649198410828,26.2534118259869,15.05270376307831,48.520209388440975,0.48817961963247236,1.3838462044505206,SomMot
34.364610494819736,5.95549813767406,6.271052371520086,52.56753154732758,0.6102911309766842,0.23101631768185069,SomMot
20.478749574688806,17.885798177578597,8.494432433904,49.33155100159385,1.6383264366231276,2.171142375611619,SomMot
13.298055910305736,8.502849328163057,8.732781820242934,60.54377008571434,4.81627457386092,4.10626828171301,SomMot
3.689572301710784,17.44780606253093,12.88863132365567,50.27885896934844,9.915461922691353,5.779669420062823,SomMot
5.649930699835423,37.24381447558698,18.04305256889379,33.083045357009816,3.7252873236124815,2.254869575061507,SomMot
2.6791873067486485,33.05702880127432,23.429165265708004,32.37789174874033,5.243044592149905,3.2136822853787836,SomMot
3.606545797073154,24.40329255717863,22.393271601266083,32.39855089716896,8.874367672001009,8.323971475312161,SomMot
4.557256167293742,26.607100430127073,25.26163859797545,37.70833604732311,3.7488027817519263,2.1168659755287074,SomMot
10.431757038998924,21.64396931795038,20.352879834243506,38.577414610131214,6.019588729812462,2.974390468863507,SomMot
6.7220559538693685,24.60128323860401,25.378374455036262,35.35755718536299,4.32928674448957,3.6114424226377886,SomMot
2.880772404256832,13.53551348831413,30.634203044580726,19.77863472012894,21.469311321630595,11.701565021088769,SomMot
6.198265878546612,15.71598719635322,40.86133037155392,25.071262456961126,7.3779198568466775,4.775234239738442,SomMot
14.26928473080321,28.92149996464029,24.03539755495239,18.108413742714443,8.21374440420868,6.451659602680988,SomMot
6.4122139027569345,20.75628581396634,25.353161093717357,21.031060694356853,16.28132485564128,10.165953639561222,SomMot
8.407468345236177,20.87660079303478,25.156876124200455,21.29288946133718,16.612752167762128,7.653413108429291,SomMot
6.637543753325602,25.84622337921777,20.344070819290536,20.86197027268217,18.375723526607104,7.934468248876812,SomMot
