percent,band
6.3343340494932425,delta
-0.35724231103491655,delta
16.14725485860412,delta
6.840922603947182,delta
19.867447661824343,delta
16.538159231478502,delta
1.1797322353066872,delta
24.929432819227447,delta
15.199252315221774,delta
17.28677051111646,delta
17.758836990191153,delta
12.540826601513618,delta
3.6011459279553715,delta
24.718108829230715,delta
15.320949995796465,delta
12.396670406348463,delta
21.143043391447875,delta
18.920050691034383,delta
16.95026993196796,delta
5.965273698191266,delta
22.088222988300423,delta
14.87347450671982,delta
21.11452731105204,delta
19.795332611269384,delta
24.75925673523034,delta
15.061951018383047,delta
27.320535558055752,delta
19.23409744547042,delta
20.110652526155352,delta
20.916630723202903,delta
18.168769641992156,delta
52.400085062178135,delta
36.38869691170739,delta
40.85931890729647,delta
28.320658309031565,delta
25.19263955890375,delta
7.346834837538831,delta
8.301649198410828,delta
34.364610494819736,delta
20.478749574688806,delta
13.298055910305736,delta
3.689572301710784,delta
5.649930699835423,delta
2.6791873067486485,delta
3.606545797073154,delta
4.557256167293742,delta
10.431757038998924,delta
6.7220559538693685,delta
2.880772404256832,delta
6.198265878546612,delta
14.26928473080321,delta
6.4122139027569345,delta
8.407468345236177,delta
6.637543753325602,delta
9.033047716657157,delta
3.6498001256344628,delta
7.002562303445228,delta
13.875440839238697,delta
8.622841240183487,delta
12.64565352114621,delta
10.954050012956605,delta
11.47239840616677,delta
8.472242317288309,delta
11.93872523170198,delta
7.784120128071952,delta
15.228435458792077,delta
15.037982073928443,delta
24.957387121045556,delta
24.701671314325534,delta
5.018140806232167,delta
4.9928157156892325,delta
7.9438178258774,delta
13.982049577917527,delta
25.208331729156626,delta
14.98315360189595,delta
12.99735585656471,delta
15.23690650284594,delta
17.25570929214292,delta
10.167370128005361,delta
14.306698854260693,delta
11.636610750840374,delta
16.62351732636504,delta
15.958819028203171,delta
15.752060102867638,delta
13.414507091673784,delta
10.689464631769427,delta
4.783179311602033,delta
6.0552609712375105,delta
5.364949675507986,delta
6.800634614430972,delta
27.504485006291485,delta
6.208912193529156,delta
