corrVal,pvalSpin,fdr_pvalSpin
0.009320495753098457,0.9642035796420358,0.9762023797620238
0.005778973618585115,0.9762023797620238,0.9762023797620238
0.031988262426640164,0.8883111688831117,0.9253241342532413
0.06232857705360659,0.7847215278472153,0.8348101360076758
0.09166294789342432,0.6852314768523148,0.7448168226655595
0.12613166332289574,0.5725427457254274,0.6361586063615859
0.17205388783679898,0.4480551944805519,0.5091536300915362
0.233369958562241,0.3003699630036996,0.3492673988415112
0.2922211388821179,0.1837816218378162,0.2187876450450193
0.3390038062737892,0.11438856114388561,0.14665200146652002
0.38568409802561265,0.0664933506649335,0.09235187592351876
0.4219605122532015,0.035896410358964105,0.05789743606284533
0.4492846830292689,0.0216978302169783,0.03741005209823845
0.4692634953968462,0.013498650134986502,0.025958942567281734
0.4818397614985093,0.010498950104989501,0.021397860213978603
0.4906125663285395,0.0081991800819918,0.017824304526069132
0.49570266064162893,0.0071992800719928,0.01636200016362
0.5015221345133406,0.006099390060993901,0.015248475152484751
0.5055849099056868,0.0045995400459954,0.012776500127765001
0.5125839536497102,0.0038996100389961006,0.011469441291165
0.518184988656179,0.0024997500249975004,0.00961442317306731
0.5254350964693529,0.0018998100189981002,0.00958237509582375
0.5328050175313596,0.0014998500149985001,0.00958237509582375
0.5358790992443702,0.0016998300169983002,0.00958237509582375
0.5379641122757016,0.0016998300169983002,0.00958237509582375
0.5399947499671872,0.0018998100189981002,0.00958237509582375
0.5388793054956593,0.0021997800219978004,0.00958237509582375
0.5379592372452328,0.0021997800219978004,0.00958237509582375
0.537036356477228,0.0021997800219978004,0.00958237509582375
0.5373907336920856,0.0020997900209979003,0.00958237509582375
0.5360279751748448,0.001999800019998,0.00958237509582375
0.5343387771173569,0.0022997700229977,0.00958237509582375
0.5323323270770443,0.0022997700229977,0.00958237509582375
0.5296418727617047,0.0028997100289971,0.010356107246418214
0.5272521703260645,0.0032996700329967,0.010998900109989001
0.5253122832017699,0.0037996200379962005,0.011469441291165
0.5210301314383214,0.004899510048995101,0.012893447497355527
0.5123732023325145,0.007099290070992901,0.01636200016362
0.5005030656441602,0.010698930106989302,0.021397860213978603
0.487230607691298,0.014498550144985502,0.026849166935158333
0.4710670691691823,0.020897910208979104,0.037317696801748394
0.4532428327677048,0.029697030296970302,0.0494950504949505
0.437198732492078,0.037696230376962306,0.0589003599640036
0.4238777117356983,0.0481951804819518,0.07302300073023
0.4157877861736635,0.05349465053494651,0.07866860372786251
0.40595016218851365,0.06409359064093591,0.09156227234419416
0.395979974874843,0.07379262073792621,0.09971975775395434
0.37823973899836877,0.09679032096790322,0.1273556854840832
0.345334595841224,0.1411858814118588,0.1764823517648235
0.3395865599159994,0.14808519148085192,0.1805916969278682
