fMRI FC Grad1,rsq
-3.75888109822063,0.2632095225226171
3.378122903868326,0.24430601436105015
-4.495226663727653,0.3945184254667814
-4.816629221652149,0.29818448431816413
-4.931100868800302,0.4545535811379965
-4.698729708300296,0.5832495034231711
-0.097441917335345,0.29015741245675664
-4.181119258476564,0.40289630468325643
-4.885113991135364,0.5566787671097994
-4.974576739459337,0.2909326648346
-4.956415064231019,0.4502147118891793
-1.1388504501093475,0.41638699867277096
-4.440199882192526,0.3090130160891206
-4.457911008699155,0.5595772067814078
-4.4449827490313885,0.7050324265934874
-4.9162719517908915,0.2496412315342127
-4.77286755190136,0.23596833577180165
-4.849337262030548,0.6020766441068854
-4.752800151731809,0.6487410840772573
5.2247042472036735,0.2221828800774983
-5.021501639593178,0.4438319813204874
-4.973155831530783,0.27284580165495065
-4.453613657750948,0.4520603772874905
-4.945807527783904,0.4797703922906993
-5.016464871512179,0.40282258230815515
-5.059385626578751,0.2876794027662304
-4.815189611989708,0.4490174819013659
-2.5176104177695735,0.40750275191145025
-5.033175534686458,0.36804571426124666
-4.83481233630907,0.2803602445547886
-3.9472671922937144,0.2884196235830242
-5.58083713835396,0.18205832436230773
-5.534480910971813,0.13170272527007698
-5.94543523347979,0.10084183110236933
-6.3296408564902285,0.3145851049063795
-6.641077070269792,0.20355411913920896
-5.196245127985026,0.10150905470102212
-5.789410483327189,0.10528917152982908
-6.433276948868972,0.26669146924234277
-5.959070348191789,0.2200532285137986
-6.341399930037215,0.2826168674189693
-4.980785109928849,0.2718051460243952
-6.883097526368281,0.1651856394188096
-6.802203914404642,0.19339502660723518
-7.203933275029504,0.15926279430997847
-6.089392062128598,0.30001079939523634
-6.35674116312366,0.1717874068159596
-7.167699567870336,0.1838926415580575
-6.699821885893311,0.23242699037465486
-5.916398163805856,0.11376975152331048
-7.1788731490444055,0.28107328930415176
-7.1214531796577925,0.28502447589547497
-7.3655651353726075,0.2881892970591756
-6.850545821450959,0.2904950948261442
-7.633447272396853,0.2825747158499553
-6.43424627564529,0.2513373393425663
-7.443903090490474,0.3718872059427104
