R-squared,rsn
0.08765367625478526,Default
0.07817309402434047,Default
0.2203834153202714,Default
0.13936475640966772,Default
0.1336202937021198,Default
0.10343872109242147,Default
0.10463587006439978,Default
0.23978411585059645,Default
0.08236170654324015,Default
0.06335795079778606,Default
0.0995407814558873,Default
0.018796816127311988,Default
0.17305017532717293,Default
0.09170642957954123,Default
0.0766213694523088,Default
0.11226210518943658,Default
0.011612050161716847,Default
0.1061968791124217,Default
0.12429416706827301,Default
0.03042962105949687,Default
0.10650623666860581,Default
0.11056181259262188,Default
0.17673996958746008,Default
0.06917615071201688,Default
0.12551480090376765,Default
0.16706715579916154,Default
0.07250113993138474,Default
0.09525545061051677,Default
0.08464382094834177,Default
0.07324771320548396,Default
0.08772561406509038,Default
0.14658769517592052,Default
0.30068390752725727,Vis
0.29398938682766174,Vis
0.33733472979437806,Vis
0.5262487432253119,Vis
0.306121097904013,Vis
0.49364019536858506,Vis
0.33012551732293993,Vis
0.6338136057120172,Vis
0.38075385396841055,Vis
0.6170918202658747,Vis
0.4510097354588418,Vis
0.3150900983721735,Vis
0.46021246960663464,Vis
0.2786836595449098,Vis
0.6484778029420195,Vis
0.27584908722042145,Vis
0.25237699021804283,Vis
0.6241207781199752,Vis
0.4791131735757961,Vis
0.32145024611288786,Vis
0.7246410403957342,Vis
0.41479930979734914,Vis
0.4651624239339407,Vis
0.29731746110112944,Vis
0.36746230536393487,Vis
0.47376252848146183,Vis
0.4527754756758908,Vis
0.29342460811760906,Vis
0.3046231922200776,Vis
0.2906285018149344,Vis
0.19287866309186275,SomMot
0.1543351094929467,SomMot
0.1377257092860451,SomMot
0.15277182782796128,SomMot
0.19365517045269254,SomMot
0.18166451241061632,SomMot
0.15030465855310438,SomMot
0.1623278669818783,SomMot
0.14223166354591155,SomMot
0.14087107583222203,SomMot
0.1705743525465282,SomMot
0.1555944658731402,SomMot
0.21701580119376118,SomMot
0.1996844019027879,SomMot
0.26221610407329343,SomMot
0.188445986459996,SomMot
0.30348423372538547,SomMot
0.2282407841802636,SomMot
0.3204416165261268,SomMot
0.14554177370900645,SomMot
0.24728417425346205,SomMot
0.1742849138211905,SomMot
0.3098598036478388,SomMot
0.29616559571280976,SomMot
0.2705065493307306,SomMot
0.31932545114707833,SomMot
0.33984774374502813,SomMot
0.3463834682193644,SomMot
0.30056276406031657,SomMot
0.254237227908059,SomMot
0.3706475548825001,SomMot
0.3146094814199235,SomMot
0.3526103472964497,SomMot
0.2790295178786186,SomMot
0.3781531381980968,SomMot
0.3255948995090472,SomMot
0.3471106871953322,SomMot
0.26271455564218793,SomMot
0.3160301855983537,SomMot
0.2856349706063904,SomMot
0.3405575275340471,DorsAttn
0.26834136928475694,DorsAttn
0.2804431955454728,DorsAttn
0.36213851172676204,DorsAttn
0.3596118047160348,DorsAttn
0.23847732565165203,DorsAttn
0.33750697907963734,DorsAttn
0.20915765496145966,DorsAttn
0.2977521643378719,DorsAttn
0.29056212619715605,DorsAttn
0.23054249808248706,DorsAttn
0.3365180671013088,DorsAttn
0.2825310831515826,DorsAttn
0.24600162655102964,DorsAttn
0.26333205096877743,DorsAttn
0.25653172460422047,DorsAttn
0.251688429321008,DorsAttn
0.2795816213646407,DorsAttn
0.34310556130060454,DorsAttn
0.13843598474505037,DorsAttn
0.14329850939377742,DorsAttn
0.22561550789275875,DorsAttn
0.16359089937666926,DorsAttn
0.22590712577622152,SalVentAttn
0.1810493281635127,SalVentAttn
0.12875129329436086,SalVentAttn
0.13981139366559459,SalVentAttn
0.16623330196808583,SalVentAttn
0.15209490758788824,SalVentAttn
0.1089116766532845,SalVentAttn
0.0756203577343385,SalVentAttn
0.15835963864372216,SalVentAttn
0.10037676720902766,SalVentAttn
0.11566261335926575,SalVentAttn
0.15799078435906455,SalVentAttn
0.1280103730264529,SalVentAttn
0.10343520456323663,SalVentAttn
0.10545677584211233,SalVentAttn
0.12802165375088004,SalVentAttn
0.08952410684120915,SalVentAttn
0.0754608647881998,SalVentAttn
0.18353669271961448,SalVentAttn
0.12183994424237898,SalVentAttn
0.04417765107007421,SalVentAttn
0.18911879152108058,SalVentAttn
0.2821763452409153,SalVentAttn
0.15386635825710704,SalVentAttn
0.06083215456521607,SalVentAttn
0.022793362338467738,Limbic
0.09283273608355191,Limbic
0.10477681335975275,Limbic
0.046219865869257526,Limbic
0.07420170581218255,Limbic
0.0932547680152025,Limbic
0.21802257816850823,Limbic
0.03527368994888003,Limbic
0.04515046934985967,Limbic
0.23765818529754135,Limbic
0.035530596572941,Limbic
0.2904592230002877,Limbic
0.1529931503943378,Limbic
0.06650251521661332,Cont
0.12002702785626085,Cont
0.197723829428313,Cont
0.16610525671087195,Cont
0.12805099006149445,Cont
0.14722436800984928,Cont
0.04352712877942777,Cont
0.15776683931280255,Cont
0.06639552744736488,Cont
0.08183337092492815,Cont
0.1888169386773314,Cont
0.2396239636412303,Cont
0.12256291223141413,Cont
0.11849770619882383,Cont
0.07436572742443215,Cont
0.14780636690243032,Cont
0.06426436883863706,Cont
0.11013853422191133,Cont
0.08450069866415355,Cont
0.1278405833336025,Cont
0.06560433092260409,Cont
0.12680683407348903,Cont
0.10342057071692601,Cont
0.1380664763505286,Cont
0.1048328337755654,Cont
0.1754061238073953,Cont
0.11219523506996254,Cont
0.06497585906282899,Cont
0.04997002921498439,Cont
0.062079530353204015,Cont
0.1135450062691229,Default
0.3098146174696058,Default
-0.002455556283585514,Default
0.07922046888532452,Default
0.06895102362330707,Default
0.016660469894858587,Default
0.0235574962443037,Default
0.04743850020179252,Default
0.037899866551856065,Default
0.04088236754968666,Default
0.11627604161058813,Default
0.046878622920481394,Default
0.10243195325436572,Default
0.04465671380689895,Default
0.10547479884227218,Default
0.09183565361712775,Default
0.08148019003807327,Default
0.06609322269953388,Default
0.15738909857358208,Default
0.1262054093947771,Default
0.1046881028529223,Default
0.15854301516043334,Default
0.014769644055409814,Default
0.04727189709863411,Default
0.12457377272662173,Default
0.07056228983850288,Default
0.18664989649101782,Default
0.06541614989880318,Default
0.10094701691881325,Default
0.037726684080485406,Default
0.1873630563822719,Default
0.17345993334852905,Default
0.3011588087985203,Default
0.08858983900269979,Default
0.0765000970821531,Default
0.09920027563528133,Default
0.07476778676354923,Default
0.08369722774448873,Default
0.2994898624906993,Default
