R-squared,rsn
0.2632095225226171,Vis
0.24430601436105015,Vis
0.3945184254667814,Vis
0.29818448431816413,Vis
0.4545535811379965,Vis
0.5832495034231711,Vis
0.29015741245675664,Vis
0.40289630468325643,Vis
0.5566787671097994,Vis
0.2909326648346,Vis
0.4502147118891793,Vis
0.41638699867277096,Vis
0.3090130160891206,Vis
0.5595772067814078,Vis
0.7050324265934874,Vis
0.2496412315342127,Vis
0.23596833577180165,Vis
0.6020766441068854,Vis
0.6487410840772573,Vis
0.2221828800774983,Vis
0.4438319813204874,Vis
0.27284580165495065,Vis
0.4520603772874905,Vis
0.4797703922906993,Vis
0.40282258230815515,Vis
0.2876794027662304,Vis
0.4490174819013659,Vis
0.40750275191145025,Vis
0.36804571426124666,Vis
0.2803602445547886,Vis
0.2884196235830242,Vis
0.18205832436230773,SomMot
0.13170272527007698,SomMot
0.10084183110236933,SomMot
0.3145851049063795,SomMot
0.20355411913920896,SomMot
0.10150905470102212,SomMot
0.10528917152982908,SomMot
0.26669146924234277,SomMot
0.2200532285137986,SomMot
0.2826168674189693,SomMot
0.2718051460243952,SomMot
0.1651856394188096,SomMot
0.19339502660723518,SomMot
0.15926279430997847,SomMot
0.30001079939523634,SomMot
0.1717874068159596,SomMot
0.1838926415580575,SomMot
0.23242699037465486,SomMot
0.11376975152331048,SomMot
0.28107328930415176,SomMot
0.28502447589547497,SomMot
0.2881892970591756,SomMot
0.2904950948261442,SomMot
0.2825747158499553,SomMot
0.2513373393425663,SomMot
0.3718872059427104,SomMot
0.3082851636666858,SomMot
0.40356775086092633,SomMot
0.3170207600555973,SomMot
0.3042351212064913,SomMot
0.3580210406327443,SomMot
0.3815229503346348,SomMot
0.2713516308595283,SomMot
0.3467282217261396,SomMot
0.32433575950577165,SomMot
0.34206009764316236,SomMot
0.30387740352885395,SomMot
0.23584279307005285,DorsAttn
0.3030007093897529,DorsAttn
0.2850112292598227,DorsAttn
0.21390298107989703,DorsAttn
0.2436708393323499,DorsAttn
